station id,depth,Water C,DO MG/L,SPC,TDS mg/L,PH,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
DWH,0,10.9,123.7x,46.90,30.55,6.53,date/time:,2019/Mar/28 13:45,,,,,,,,,,,,
,1,9.7,129.6x,46.90,30.55,6.60,weather:,"calm, sunny, some clouds, light wind",,,,,,,,,,,,
,2,9.4,117.4x,46.90,30.55,6.58,people:,"Mary Claire, Gina",,,,,,,,,,,,
,3,8.2,119.9x,47.10,30.55,6.45,air temp (C):, 	13.0 ,,,,,,,,,,,,
,4,6.9,116.5x,47.00,30.55,6.38,secchi 1 (m):, 	3.9 ,,,,,,,,,,,,
,5,5.8,113.5x,47.20,30.55,6.36,secchi 2 (m):, 	3.9 ,,,,,,,,,,,,
,6,5.3,108.8x,47.10,30.55,6.35,Nitrogen (ug/L):, 	0.3910 ,,,,,,,,,,,,
,7,5.0,106.2x,47.20,30.55,6.32,Phosporus (ug/L):, 	0.0214 ,,,,,,,,,,,,
,8,4.9,103.2x,47.10,30.55,6.30,,,,,,,,,,,,,,
,9,4.9,103.3x,47.20,30.55,6.28,DATA NOTES,"""x"" note:DO recorded in %",,,,,,,,,,,,
,10,4.9,103.1x,47.10,30.55,6.27,,,,,,,,,,,,,,
,11,4.9,100.9x,47.10,30.55,6.25,,,,,,,,,,,,,,
,12,4.9,100.8x,47.20,30.55,6.24,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,11.6,12.60,46.80,30.55,7.05,date/time:,2019/Apr/28 11:45,,,,,,,,,,,,
,1,11.5,12.60,46.70,30.55,6.89,weather:,"calm, sunny",,,,,,,,,,,,
,2,11.2,12.50,46.70,30.55,6.93,people:,"Andrew Smith, Gina Trzesicka",,,,,,,,,,,,
,3,11.1,12.40,46.70,30.55,6.89,air temp (C):, 	11.2 ,,,,,,,,,,,,
,4,11.1,12.45,46.70,30.55,6.87,secchi 1 (m):, 	3.8 ,,,,,,,,,,,,
,5,11.0,12.20,46.70,30.55,6.84,secchi 2 (m):, 	3.0 ,,,,,,,,,,,,
,6,10.8,12.30,46.70,30.55,6.82,Nitrogen (ug/L):, 	0.2430 ,,,,,,,,,,,,
,7,10.7,12.25,46.70,30.55,6.79,Phosporus (ug/L):, 	0.0120 ,,,,,,,,,,,,
,8,9.2,12.09,47.00,30.55,6.81,,,,,,,,,,,,,,
,9,8.0,11.45,47.30,30.55,6.71,DATA NOTES,,,,,,,,,,,,,
,10,7.3,11.15,47.30,30.55,6.59,,,,,,,,,,,,,,
,11,7.1,10.80,47.40,30.55,6.46,,,,,,,,,,,,,,
,12,7.0,7.10,47.40,30.55,6.38,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,19.1,9.70,46.70,30.55,6.75,date/time:,2019/May/21 11:00,,,,,,,,,,,,
,1,19.0,9.27,46.70,30.55,6.84,weather:,"Windy, cloudy",,,,,,,,,,,,
,2,18.9,9.30,47.00,30.55,6.89,people:,"Gina Trzesicka, Ania Jasiak (Gina's guest)",,,,,,,,,,,,
,3,19.0,8.95,46.60,30.55,6.92,air temp (C):, 	18.6 ,,,,,,,,,,,,
,4,16.0,10.73,46.20,29.90,7.03,secchi 1 (m):, 	3.1 ,,,,,,,,,,,,
,5,14.0,11.30,46.20,29.90,6.93,secchi 2 (m):, 	3.1 ,,,,,,,,,,,,
,6,12.9,11.01,45.80,29.90,6.72,Nitrogen (ug/L):, 	0.2550 ,,,,,,,,,,,,
,7,11.1,9.92,45.60,29.25,6.47,Phosporus (ug/L):, 	0.0062 ,,,,,,,,,,,,
,8,10.4,9.83,46.10,29.90,6.36,,,,,,,,,,,,,,
,9,9.3,8.52,46.10,29.90,6.19,DATA NOTES,,,,,,,,,,,,,
,10,9.6,8.10,45.70,29.90,6.13,,,,,,,,,,,,,,
,11,8.9,7.60,46.20,30.55,6.06,,,,,,,,,,,,,,
,12,8.7,6.89,46.10,29.90,6.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,24.0,9.28,49.50,31.85,7.25,date/time:,2019/Jun/16 15:50,,,,,,,,,,,,
,1,23.8,9.05,28.30,31.20,6.93,weather:,"sunny light breeze, hazy",,,,,,,,,,,,
,2,23.4,8.95,48.10,31.20,6.76,people:,"Akshara Sangiorgio, Gina",,,,,,,,,,,,
,3,22.7,8.92,48.20,31.20,6.69,air temp (C):, 	30.0 ,,,,,,,,,,,,
,4,22.4,8.90,48.00,31.20,6.62,secchi 1 (m):, 	4.5 ,,,,,,,,,,,,
,5,18.0,10.86,46.40,29.90,6.83,secchi 2 (m):, 	6.6 ,,,,,,,,,,,,
,6,14.2,12.91,46.50,29.25,6.69,Nitrogen (ug/L):, 	0.1800 ,,,,,,,,,,,,
,7,12.5,11.89,45.40,29.90,6.55,Phosporus (ug/L):, 	0.0057 ,,,,,,,,,,,,
,8,11.3,9.57,46.20,29.90,6.41,,,,,,,,,,,,,,
,9,10.0,7.86,46.30,29.90,6.25,DATA NOTES,,,,,,,,,,,,,
,10,9.4,5.78,46.00,30.55,6.09,,,,,,,,,,,,,,
,11,9.5,4.16,46.40,30.55,5.95,,,,,,,,,,,,,,
,12,9.4,3.79,46.60,30.55,5.88,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,25.5,9.54,49.00,31.85,7.15,date/time:,2019/Jul/16 18:00,,,,,,,,,,,,
,1,25.2,9.34,48.90,31.85,7.24,weather:,na,,,,,,,,,,,,
,2,25.2,9.42,49.00,31.85,7.23,people:,"Akshara Sangiorgio, Gina",,,,,,,,,,,,
,3,25.0,9.62,48.90,31.85,7.27,air temp (C):, 	21.2 ,,,,,,,,,,,,
,4,24.0,9.92,48.50,31.85,7.28,secchi 1 (m):, 	6.2 ,,,,,,,,,,,,
,5,22.4,10.29,48.60,31.85,7.31,secchi 2 (m):, 	5.3 ,,,,,,,,,,,,
,6,19.0,12.64,47.50,31.20,7.32,Nitrogen (ug/L):, 	0.1760 ,,,,,,,,,,,,
,7,15.0,12.45,46.70,29.90,7.19,Phosporus (ug/L):,<0.0030,,,,,,,,,,,,
,8,12.3,9.99,47.10,30.55,6.86,,,,,,,,,,,,,,
,9,10.8,7.63,47.10,30.55,6.50,DATA NOTES,,,,,,,,,,,,,
,10,9.9,4.62,48.20,31.20,6.27,,,,,,,,,,,,,,
,11,9.7,3.11,49.10,31.85,6.13,,,,,,,,,,,,,,
,12,9.8,2.32,49.40,32.50,6.03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,25.7,8.93,49.30,31.85,6.84,date/time:,2019/Aug/13 15:45,,,,,,,,,,,,
,1,25.0,8.49,49.30,31.85,6.79,weather:,"morning rain, afternoon sunny, no breeze, a bit muggy",,,,,,,,,,,,
,2,24.6,8.52,49.40,31.85,6.72,people:,"Gina, Autumn (FOCI summer student0",,,,,,,,,,,,
,3,24.6,8.26,49.00,31.85,6.68,air temp (C):, 	27.4 ,,,,,,,,,,,,
,4,24.3,8.50,49.00,31.85,6.66,secchi 1 (m):, 	7.4 ,,,,,,,,,,,,
,5,23.7,8.45,48.80,31.85,6.64,secchi 2 (m):, 	5.4 ,,,,,,,,,,,,
,6,21.3,9.60,48.00,31.20,6.65,Nitrogen (ug/L):, 	0.2030 ,,,,,,,,,,,,
,7,16.7,9.50,46.60,31.55,6.40,Phosporus (ug/L):, 	0.0140 ,,,,,,,,,,,,
,8,13.2,5.73,47.50,31.20,6.06,,,,,,,,,,,,,,
,9,11.7,3.60,47.80,31.20,5.87,DATA NOTES,,,,,,,,,,,,,
,10,11.0,1.63,49.50,31.85,5.75,,,,,,,,,,,,,,
,11,10.2,1.24,52.90,34.45,5.72,,,,,,,,,,,,,,
,12,10.5,1.17,53.90,35.10,5.72,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,21.0,8.55,48.90,31.85,6.52,date/time:,2019/Sep/16 14:00,,,,,,,,,,,,
,1,20.7,8.81,49.70,31.85,6.44,weather:,"sunny, windy, some clouds",,,,,,,,,,,,
,2,20.7,8.86,48.60,31.20,6.28,people:,"Gina, Autumn",,,,,,,,,,,,
,3,20.5,8.64,48.40,31.85,6.30,air temp (C):, 	19.0 ,,,,,,,,,,,,
,4,20.3,9.97,48.40,31.85,6.29,secchi 1 (m):, 	4.3 ,,,,,,,,,,,,
,5,20.3,8.84,48.20,31.85,6.30,secchi 2 (m):, 	6.9 ,,,,,,,,,,,,
,6,20.2,8.79,48.70,31.85,6.25,Nitrogen (ug/L):, 	0.1690 ,,,,,,,,,,,,
,7,20.0,8.41,47.70,31.85,6.29,Phosporus (ug/L):, 	0.0069 ,,,,,,,,,,,,
,8,14.6,6.00,48.00,31.20,6.18,,,,,,,,,,,,,,
,9,11.9,3.11,49.20,32.85,5.82,DATA NOTES,,,,,,,,,,,,,
,10,19.8,1.65,55.40,36.40,5.61,,,,,,,,,,,,,,
,11,10.0,1.30,60.00,38.35,5.53,,,,,,,,,,,,,,
,12,9.9,1.22,61.10,39.65,5.53,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,na,na,na,na,na,date/time:,2019/Nov/05 13:30,,,,,,,,,,,,
,1,12.1,97.8x,47.40,31.20,z,weather:,"overcast, no breeze",,,,,,,,,,,,
,2,11.9,96.6x,47.40,31.20,z,people:,Carrie and Max,,,,,,,,,,,,
,3,11.9,89x,47.20,31.20,z,air temp (C):,na,,,,,,,,,,,,
,4,11.7,88.2x,47.60,30.55,z,secchi 1 (m):, 	4.6 ,,,,,,,,,,,,
,5,11.6,90.6x,47.20,30.55,z,secchi 2 (m):, 	5.3 ,,,,,,,,,,,,
,6,11.7,89x,47.40,30.55,z,Nitrogen (ug/L):, 	0.2390 ,,,,,,,,,,,,
,7,11.6,88.8x,47.40,30.55,z,Phosporus (ug/L):, 	0.0130 ,,,,,,,,,,,,
,8,11.6,88.8x,47.30,31.20,z,,,,,,,,,,,,,,
,9,11.6,88.8x,47.80,31.20,z,DATA NOTES,"""x"" = DO in percent",,,,,,,,,,,,
,10,11.6,87.4x,47.50,31.20,z,,"""z"" = PH not measured, not calibrated",,,,,,,,,,,,
,11,11.6,87.6x,47.60,31.20,z,,"""na"" = not measured",,,,,,,,,,,,
,12,11.5,82.3x,47.00,30.55,z,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,na,na,na,na,na,date/time:,2019/Dec/15 11:35,,,,,,,,,,,,
,1,8.3,11.40,48.00,31.20,6.99,weather:,clear,,,,,,,,,,,,
,2,7.9,10.10,47.40,31.00,6.89,people:,na,,,,,,,,,,,,
,3,7.8,10.00,47.60,30.00,6.90,air temp (C):, 	15.0 ,,,,,,,,,,,,
,4,7.9,10.64,47.60,31.20,6.91,secchi 1 (m):, 	6.1 ,,,,,,,,,,,,
,5,7.7,9.80,47.50,31.20,6.94,secchi 2 (m):, 	5.3 ,,,,,,,,,,,,
,6,7.9,9.78,47.50,31.20,6.96,Nitrogen (ug/L):, 	0.3100 ,,,,,,,,,,,,
,7,7.9,9.84,47.60,31.20,6.99,Phosporus (ug/L):, 	0.0120 ,,,,,,,,,,,,
,8,7.9,11.70,47.40,31.20,7.00,,,,,,,,,,,,,,
,9,7.9,11.80,47.50,31.20,7.01,DATA NOTES,"""na"" = not measured",,,,,,,,,,,,
